input,State
"p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:high,p:high,p:high,p:high,p:high,p:high,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low",Caution
"p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:high,p:high,p:high,p:high,p:high,p:high,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low",Caution
"p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:high,p:high,p:high,p:high,p:high,p:high,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low",Caution
"p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:high,p:high,p:high,p:high,p:high,p:high,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low",Caution
"p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:high,p:high,p:high,p:high,p:high,p:high,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low",Caution
"p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:high,p:high,p:high,p:high,p:high,p:high,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low",Caution
"p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:high,p:high,p:high,p:high,p:high,p:high,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low",Caution
"p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:high,p:high,p:high,p:high,p:high,p:high,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low",Caution
"p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:high,p:high,p:high,p:high,p:high,p:high,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low",Critical
"p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:high,p:high,p:high,p:high,p:high,p:high,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low",Critical
"p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:high,p:high,p:high,p:high,p:high,p:high,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low",Critical
"p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:high,p:high,p:high,p:high,p:high,p:high,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low",Critical
"p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:high,p:high,p:high,p:high,p:high,p:high,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low",Critical
"p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:high,p:high,p:high,p:high,p:high,p:high,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low",Critical
"p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:high,p:high,p:high,p:high,p:high,p:high,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:high",Critical
"p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:high,p:high,p:high,p:high,p:high,p:high,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:high,p:high",Critical
"p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:high,p:high,p:high,p:high,p:high,p:high,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:high,p:high,p:high",Critical
"p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:med,p:high,p:high,p:high,p:high,p:high,p:high,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:low,p:high,p:high,p:high,p:high",Critical
